ID,Category,Supercategory
n02107683,Bernese mountain dog,Sennenhunde
n02107908,Appenzeller,Sennenhunde
n02108000,EntleBucher,Sennenhunde
n02108089,boxer,working dog
n02108422,bull mastiff,working dog
n02108551,Tibetan mastiff,mastiff
n02108915,French bulldog,"bulldog, English bulldog"
n02109047,Great Dane,working dog
n02109525,"Saint Bernard, St Bernard",working dog
n02109961,"Eskimo dog, husky",working dog
n02110063,"malamute, malemute, Alaskan malamute","sled dog, sledge dog"
n02110185,Siberian husky,"sled dog, sledge dog"
n02110341,"dalmatian, coach dog, carriage dog","dog, domestic dog, Canis familiaris"
n02110627,"affenpinscher, monkey pinscher, monkey dog",pinscher
n02110806,basenji,"dog, domestic dog, Canis familiaris"
n02110958,"pug, pug-dog","dog, domestic dog, Canis familiaris"
n02111129,Leonberg,"dog, domestic dog, Canis familiaris"
n02111277,"Newfoundland, Newfoundland dog","dog, domestic dog, Canis familiaris"
n02111500,Great Pyrenees,"dog, domestic dog, Canis familiaris"
n02111889,"Samoyed, Samoyede",spitz
n02112018,Pomeranian,spitz
n02112137,"chow, chow chow",spitz
n02112350,keeshond,spitz
n02112706,Brabancon griffon,"griffon, Brussels griffon, Belgian griffon"
n02113023,"Pembroke, Pembroke Welsh corgi","corgi, Welsh corgi"
n02113186,"Cardigan, Cardigan Welsh corgi","corgi, Welsh corgi"
n02113624,toy poodle,"poodle, poodle dog"
n02113712,miniature poodle,"poodle, poodle dog"
n02113799,standard poodle,"poodle, poodle dog"
n02113978,Mexican hairless,"dog, domestic dog, Canis familiaris"
n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",wolf
n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",wolf
n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",wolf
n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",wolf
n02115641,"dingo, warrigal, warragal, Canis dingo",wild dog
n02115913,"dhole, Cuon alpinus",wild dog
n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",wild dog
n02117135,"hyena, hyaena","canine, canid"
n02119022,"red fox, Vulpes vulpes",fox
n02119789,"kit fox, Vulpes macrotis",fox
n02120079,"Arctic fox, white fox, Alopex lagopus",fox
n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",fox
n02123045,"tabby, tabby cat","domestic cat, house cat, Felis domesticus, Felis catus"
n02123159,tiger cat,"domestic cat, house cat, Felis domesticus, Felis catus"
n02123394,Persian cat,"domestic cat, house cat, Felis domesticus, Felis catus"
n02123597,"Siamese cat, Siamese","domestic cat, house cat, Felis domesticus, Felis catus"
n02124075,Egyptian cat,"domestic cat, house cat, Felis domesticus, Felis catus"
n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",wildcat
n02127052,"lynx, catamount",wildcat
n02128385,"leopard, Panthera pardus","big cat, cat"
n02128757,"snow leopard, ounce, Panthera uncia","big cat, cat"
n02128925,"jaguar, panther, Panthera onca, Felis onca","big cat, cat"
n02129165,"lion, king of beasts, Panthera leo","big cat, cat"
n02129604,"tiger, Panthera tigris","big cat, cat"
n02130308,"cheetah, chetah, Acinonyx jubatus","big cat, cat"
n02132136,"brown bear, bruin, Ursus arctos",bear
n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",bear
n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",bear
n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",bear
n02137549,mongoose,"viverrine, viverrine mammal"
n02138441,"meerkat, mierkat","viverrine, viverrine mammal"
n02165105,tiger beetle,beetle
n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",beetle
n02167151,"ground beetle, carabid beetle",beetle
n02168699,"long-horned beetle, longicorn, longicorn beetle",beetle
n02169497,"leaf beetle, chrysomelid",beetle
n02172182,dung beetle,"scarabaeid beetle, scarabaeid, scarabaean"
n02174001,rhinoceros beetle,"scarabaeid beetle, scarabaeid, scarabaean"
n02177972,weevil,beetle
n02190166,fly,"dipterous insect, two-winged insects, dipteran, dipteron"
n02206856,bee,"hymenopterous insect, hymenopteran, hymenopteron, hymenopter"
n02219486,"ant, emmet, pismire","hymenopterous insect, hymenopteran, hymenopteron, hymenopter"
n02226429,"grasshopper, hopper","orthopterous insect, orthopteron, orthopteran"
n02229544,cricket,"orthopterous insect, orthopteron, orthopteran"
n02231487,"walking stick, walkingstick, stick insect","phasmid, phasmid insect"
n02233338,"cockroach, roach",dictyopterous insect
n02236044,"mantis, mantid",dictyopterous insect
n02256656,"cicada, cicala","homopterous insect, homopteran"
n02259212,leafhopper,"homopterous insect, homopteran"
n02264363,"lacewing, lacewing fly","neuropteron, neuropteran, neuropterous insect"
n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",odonate
n02268853,damselfly,odonate
n02276258,admiral,"nymphalid, nymphalid butterfly, brush-footed butterfly, four-footed butterfly"
n02277742,"ringlet, ringlet butterfly",butterfly
n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus","danaid, danaid butterfly"
n02280649,cabbage butterfly,"pierid, pierid butterfly"
n02281406,"sulphur butterfly, sulfur butterfly",butterfly
n02281787,"lycaenid, lycaenid butterfly",butterfly
n02317335,"starfish, sea star",echinoderm
n02319095,sea urchin,echinoderm
n02321529,"sea cucumber, holothurian",echinoderm
n02325366,"wood rabbit, cottontail, cottontail rabbit","rabbit, coney, cony"
n02326432,hare,"leporid, leporid mammal"
n02328150,"Angora, Angora rabbit","rabbit, coney, cony"
n02342885,hamster,"rodent, gnawer"
n02346627,"porcupine, hedgehog","rodent, gnawer"
n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",tree squirrel
n02361337,marmot,"rodent, gnawer"
n02363005,beaver,"rodent, gnawer"
n02364673,"guinea pig, Cavia cobaya",cavy
n02389026,sorrel,"horse, Equus caballus"
n02391049,zebra,"equine, equid"
n02395406,"hog, pig, grunter, squealer, Sus scrofa",swine
n02396427,"wild boar, boar, Sus scrofa",swine
n02397096,warthog,swine
n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius","even-toed ungulate, artiodactyl, artiodactyl mammal"
n02403003,ox,"cattle, cows, kine, oxen, Bos taurus"
n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis","Old World buffalo, buffalo"
n02410509,bison,bovid
n02412080,"ram, tup",sheep
n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",mountain sheep
n02417914,"ibex, Capra ibex",wild goat
n02422106,hartebeest,antelope
n02422699,"impala, Aepyceros melampus",antelope
n02423022,gazelle,antelope
n02437312,"Arabian camel, dromedary, Camelus dromedarius",camel
n02437616,llama,"even-toed ungulate, artiodactyl, artiodactyl mammal"
n02441942,weasel,"musteline mammal, mustelid, musteline"
n02442845,mink,"musteline mammal, mustelid, musteline"
n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius","musteline mammal, mustelid, musteline"
n02443484,"black-footed ferret, ferret, Mustela nigripes","musteline mammal, mustelid, musteline"
n02444819,otter,"musteline mammal, mustelid, musteline"
n02445715,"skunk, polecat, wood pussy","musteline mammal, mustelid, musteline"
n02447366,badger,"musteline mammal, mustelid, musteline"
n02454379,armadillo,edentate
n02457408,"three-toed sloth, ai, Bradypus tridactylus","sloth, tree sloth"
n02480495,"orangutan, orang, orangutang, Pongo pygmaeus","great ape, pongid"
n02480855,"gorilla, Gorilla gorilla","great ape, pongid"
n02481823,"chimpanzee, chimp, Pan troglodytes","great ape, pongid"
n02483362,"gibbon, Hylobates lar",lesser ape
n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus",lesser ape
n02484975,"guenon, guenon monkey","Old World monkey, catarrhine"
n02486261,"patas, hussar monkey, Erythrocebus patas","Old World monkey, catarrhine"
n02486410,baboon,"Old World monkey, catarrhine"
n02487347,macaque,"Old World monkey, catarrhine"
n02488291,langur,"Old World monkey, catarrhine"
n02488702,"colobus, colobus monkey","Old World monkey, catarrhine"
n02489166,"proboscis monkey, Nasalis larvatus","Old World monkey, catarrhine"
n02490219,marmoset,"New World monkey, platyrrhine, platyrrhinian"
n02492035,"capuchin, ringtail, Cebus capucinus","New World monkey, platyrrhine, platyrrhinian"
n02492660,"howler monkey, howler","New World monkey, platyrrhine, platyrrhinian"
n02493509,"titi, titi monkey","New World monkey, platyrrhine, platyrrhinian"
n02493793,"spider monkey, Ateles geoffroyi","New World monkey, platyrrhine, platyrrhinian"
n02494079,"squirrel monkey, Saimiri sciureus","New World monkey, platyrrhine, platyrrhinian"
n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta",lemur
n02500267,"indri, indris, Indri indri, Indri brevicaudatus",lemur
n02504013,"Indian elephant, Elephas maximus",elephant
n02504458,"African elephant, Loxodonta africana",elephant
n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",procyonid
n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",procyonid
n02514041,"barracouta, snoek",food fish
n02526121,eel,"soft-finned fish, malacopterygian"
n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",salmon
n02606052,"rock beauty, Holocanthus tricolor",butterfly fish
n02607072,anemone fish,"damselfish, demoiselle"
n02640242,sturgeon,"ganoid, ganoid fish"
n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus","ganoid, ganoid fish"
n02643566,lionfish,"scorpaenid, scorpaenid fish"
n02655020,"puffer, pufferfish, blowfish, globefish","plectognath, plectognath fish"
n02666196,abacus,"calculator, calculating machine"
n02667093,abaya,robe
n02669723,"academic gown, academic robe, judge's robe","gown, robe"
n02672831,"accordion, piano accordion, squeeze box",keyboard instrument
n02676566,acoustic guitar,guitar
n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier","warship, war vessel, combat ship"
n02690373,airliner,"airplane, aeroplane, plane"
n02692877,"airship, dirigible",lighter-than-air craft
n02699494,altar,"structure, construction"
n02701002,ambulance,"car, auto, automobile, machine, motorcar"
n02704792,"amphibian, amphibious vehicle","motor vehicle, automotive vehicle"
n02708093,analog clock,clock
n02727426,"apiary, bee house",shed
n02730930,apron,protective garment
n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",bin
n02749479,"assault rifle, assault gun","automatic rifle, automatic, machine rifle"
n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",bag
n02776631,"bakery, bakeshop, bakehouse","shop, store"
n02777292,"balance beam, beam","gymnastic apparatus, exerciser"
n02782093,balloon,lighter-than-air craft
n02783161,"ballpoint, ballpoint pen, ballpen, Biro",pen
n02786058,Band Aid,adhesive bandage
n02787622,banjo,stringed instrument
n02788148,"bannister, banister, balustrade, balusters, handrail",barrier
n02790996,barbell,"weight, free weight, exercising weight"
n02791124,barber chair,chair
n02791270,barbershop,"shop, store"
n02793495,barn,farm building
n02794156,barometer,"measuring instrument, measuring system, measuring device"
n02795169,"barrel, cask",vessel
n02797295,"barrow, garden cart, lawn cart, wheelbarrow","handcart, pushcart, cart, go-cart"
n02799071,baseball,baseball equipment
n02802426,basketball,basketball equipment
n02804414,bassinet,"baby bed, baby's bed"
n02804610,bassoon,"double-reed instrument, double reed"
n02807133,"bathing cap, swimming cap",cap
n02808304,bath towel,towel
n02808440,"bathtub, bathing tub, bath, tub",vessel
n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon","car, auto, automobile, machine, motorcar"
n02814860,"beacon, lighthouse, beacon light, pharos",tower
n02815834,beaker,jar
n02817516,"bearskin, busby, shako","hat, chapeau, lid"
n02823428,beer bottle,bottle
n02823750,beer glass,"glass, drinking glass"
n02825657,"bell cote, bell cot",shelter
n02834397,bib,"piece of cloth, piece of material"
n02835271,"bicycle-built-for-two, tandem bicycle, tandem","bicycle, bike, wheel, cycle"
n02837789,"bikini, two-piece","swimsuit, swimwear, bathing suit, swimming costume, bathing costume"
n02840245,"binder, ring-binder","protective covering, protective cover, protection"
n02841315,"binoculars, field glasses, opera glasses",optical instrument
n02843684,birdhouse,shelter
n02859443,boathouse,shed
n02860847,"bobsled, bobsleigh, bob","sled, sledge, sleigh"
n02865351,"bolo tie, bolo, bola tie, bola","necktie, tie"
n02869837,"bonnet, poke bonnet","hat, chapeau, lid"
n02870880,bookcase,"furniture, piece of furniture, article of furniture"
n02871525,"bookshop, bookstore, bookstall","shop, store"
n02877765,bottlecap,cap
n02879718,bow,"weapon, arm, weapon system"
n02883205,"bow tie, bow-tie, bowtie","necktie, tie"
n02892201,"brass, memorial tablet, plaque","memorial, monument"
n02892767,"brassiere, bra, bandeau","undergarment, unmentionable"
n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",barrier
n02895154,"breastplate, aegis, egis","armor plate, armour plate, armor plating, plate armor, plate armour"
n02906734,broom,"cleaning implement, cleaning device, cleaning equipment"
n02909870,"bucket, pail",vessel
n02910353,buckle,"fastener, fastening, holdfast, fixing"
n02916936,bulletproof vest,"vest, waistcoat"
n02917067,"bullet train, bullet",passenger train
n02927161,"butcher shop, meat market","shop, store"
n02930766,"cab, hack, taxi, taxicab","car, auto, automobile, machine, motorcar"
n02939185,"caldron, cauldron",pot
n02948072,"candle, taper, wax light",lamp
n02950826,cannon,gun
n02951358,canoe,small boat
n02951585,"can opener, tin opener",opener
n02963159,cardigan,"sweater, jumper"
n02965783,car mirror,mirror
n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig",ride
n02966687,"carpenter's kit, tool kit","kit, outfit"
n02971356,carton,box
n02974003,car wheel,wheel
n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",machine
n02978881,cassette,container
n02979186,cassette player,electronic equipment
n02980441,castle,"fortification, munition"
n02981792,catamaran,"sailboat, sailing boat"
n02988304,CD player,electronic equipment
n02992211,"cello, violoncello","bowed stringed instrument, string"
n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone","radiotelephone, radiophone, wireless telephone"
n02999410,chain,ligament
n03000134,chainlink fence,"fence, fencing"
n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","body armor, body armour, suit of armor, suit of armour, coat of mail, cataphract"
n03000684,"chain saw, chainsaw","power saw, saw, sawing machine"
n03014705,chest,box
n03016953,"chiffonier, commode","chest of drawers, chest, bureau, dresser"
n03017168,"chime, bell, gong","percussion instrument, percussive instrument"
n03018349,"china cabinet, china closet",cabinet
n03026506,Christmas stocking,stocking
n03028079,"church, church building","place of worship, house of prayer, house of God, house of worship"
n03032252,"cinema, movie theater, movie theatre, movie house, picture palace","theater, theatre, house"
n03041632,"cleaver, meat cleaver, chopper",knife
n03042490,cliff dwelling,"dwelling, home, domicile, abode, habitation, dwelling house"
n03045698,cloak,covering
n03047690,"clog, geta, patten, sabot","footwear, footgear"
n03062245,cocktail shaker,shaker
n03063599,coffee mug,mug
n03063689,coffeepot,pot
